2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.721223", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.726221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.726221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.732222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.732222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.736221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.737221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.741221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.741221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.748220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.748220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.754220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.754220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.759221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.759221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.764222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.764222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.768223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.769221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.775220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.775220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.782229", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.782229", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.793221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.794222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.799221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.799221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.803220", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.803220", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.809221", "message": "프레임 처리", "data": {"fps": 0.0}}
